"X";"Basisonderwijs";"Speciaal.basisonderwijs";"Speciale.scholen";"Brugjaren.voortgezet.onderwijs";"Praktijkonderwijs";"Vmbo";"Havo";"Vwo";"Middelbaar.beroepsonderwijs";"Hoger.beroepsonderwijs";"Wetenschappelijk.onderwijs";"Uitstroom"
"Basisonderwijs";1352;10;5;176;1;0;0;0;0;0;0;9
"Speciaal basisonderwijs";0;32;1;8;3;0;0;0;0;0;0;0
"Speciale scholen";1;1;56;2;0;0;0;0;1;0;0;5
"Brugjaren voortgezet onderwijs";0;0;1;198;1;97;40;44;1;0;0;3
"Praktijkonderwijs";0;0;0;0;21;0;0;0;2;0;0;3
"Vmbo";0;0;0;0;0;107;10;0;89;0;0;8
"Havo";0;0;0;0;0;3;98;2;7;34;0;11
"Vwo";0;0;0;0;0;0;8;121;0;5;25;9
"Middelbaar beroepsonderwijs";0;0;0;0;0;0;1;0;336;24;0;145
"Hoger beroepsonderwijs";0;0;0;0;0;0;0;0;0;281;10;93
"Wetenschappelijk onderwijs";0;0;0;0;0;0;0;0;0;4;171;44
"Instroom";195;1;4;4;0;2;2;1;78;54;26;0
